category,activity_code,met,suggested_spoons,activity_clean,activity_description,source
Conditioning Exercise,02001,5.5,4,"Aerobic, step, with 4-inch step","Aerobic, step, with 4-inch step",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02002,7.3,5,"Aerobic, step, with 6 - 8 inch step","Aerobic, step, with 6 - 8 inch step",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02003,9.0,5,"Aerobic, step, with 10 - 12 inch step","Aerobic, step, with 10 - 12 inch step",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02004,7.8,5,"Bench step class, general","Bench step class, general",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02005,4.8,4,"Aerobic dance, low impact, moderate effort","Aerobic dance, low impact, moderate effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02006,8.0,5,"Aerobic dance, high impact, vigorous effort","Aerobic dance, high impact, vigorous effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02007,10.0,5,Aerobic dance wearing 10-15 lb weights,Aerobic dance wearing 10-15 lb weights,2024 Adult Compendium of Physical Activities
Conditioning Exercise,02008,5.0,4,"Army type obstacle course exercise, boot camp training program","Army type obstacle course exercise, boot camp training program",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02020,7.5,5,"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort","Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02022,3.8,3,"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort","Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02024,2.8,3,"Calisthenics (e.g., curl ups, abdominal crunches, plank), light effort","Calisthenics (e.g., curl ups, abdominal crunches, plank), light effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02030,3.5,3,"Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor","Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02032,6.0,4,"Circuit training, body weight exercises","Circuit training, body weight exercises",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02034,3.5,3,"Circuit training, light effort","Circuit training, light effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02035,5.0,4,"Circuit training, moderate effort","Circuit training, moderate effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02040,7.5,5,"Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity","Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02045,3.5,3,Curves exercise routines in women,Curves exercise routines in women,2024 Adult Compendium of Physical Activities
Conditioning Exercise,02048,5.0,4,"Elliptical trainer, moderate effort","Elliptical trainer, moderate effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02049,9.0,5,"Elliptical trainer, vigorous effort Resistance (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort","Elliptical trainer, vigorous effort Resistance (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code Conditioning Exercise 02050 6.0 210)",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02052,5.0,4,"Resistance (weight) training, squats, deadlift, slow or explosive effort","Resistance (weight) training, squats, deadlift, slow or explosive effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02054,3.5,3,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance","Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02055,5.8,4,"Resistance Training, circuit, reciprocol supersets, peripheral hear action training","Resistance Training, circuit, reciprocol supersets, peripheral hear action training",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02056,3.0,3,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general","Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02057,6.5,5,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity","Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02058,9.8,5,Kettle bell swings,Kettle bell swings,2024 Adult Compendium of Physical Activities
Conditioning Exercise,02060,5.5,4,"Health club exercise, general","Health club exercise, general (Taylor Code 160)",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02061,5.0,4,"Health club exercise classes general, gym/weight training combined in one visit","Health club exercise classes general, gym/weight training combined in one visit",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02062,7.8,5,"Health club exercise, conditioning classes","Health club exercise, conditioning classes",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02064,3.8,3,"Home exercise, general","Home exercise, general",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02065,9.3,5,"Stair treadmill ergometer, general","Stair treadmill ergometer, general",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02068,11.0,5,"Rope skipping exercise, general","Rope skipping exercise, general",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02069,9.0,5,"Jumping rope, Digi-Jump Maching, 120 jumps/minute","Jumping rope, Digi-Jump Maching, 120 jumps/minute",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02070,7.3,5,"Rowing, stationary ergometer, general, vigorous effort","Rowing, stationary ergometer, general, vigorous effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02071,5.0,4,"Rowing, stationary ergometer, general, <100 watts, moderate effort","Rowing, stationary ergometer, general, <100 watts, moderate effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02072,7.5,5,"Rowing, stationary, 100 to 149 watts, vigorous effort","Rowing, stationary, 100 to 149 watts, vigorous effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02073,11.0,5,"Rowing, stationary, 150 to 199 watts, vigorous effort","Rowing, stationary, 150 to 199 watts, vigorous effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02074,14.0,5,"Rowing, stationary, >= 200 watts, very vigorous effort","Rowing, stationary, >= 200 watts, very vigorous effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02078,11.0,5,"Shuttle running, forward/backward/lateral","Shuttle running, forward/backward/lateral",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02080,6.8,5,"Ski machine, general","Ski machine, general",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02082,10.5,5,"Ski ergometer, cross country, double poling, slow to moderate speed","Ski ergometer, cross country, double poling, slow to moderate speed",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02084,18.0,5,"Ski ergometer, cross country, double poling, fast to maximum speed","Ski ergometer, cross country, double poling, fast to maximum speed",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02085,10.5,5,"Slide board exercise, general","Slide board exercise, general",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02090,6.0,4,"Slimnastics, jazzercise","Slimnastics, jazzercise",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02101,2.3,2,"Stretching, mild","Stretching, mild",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02103,1.8,2,"Pilates, traditional, mat","Pilates, traditional, mat",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02105,2.8,3,"Pilates, general","Pilates, general",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02107,8.5,5,"Pound, combination of Pilates and body movements with drumming","Pound, combination of Pilates and body movements with drumming",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02108,4.5,4,"Pole dancing, exercise class","Pole dancing, exercise class",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02110,6.8,5,"Teaching exercise classes (e.g., aerobic, water)","Teaching exercise classes (e.g., aerobic, water)",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02112,2.8,3,"Therapeutic exercise ball, Fitball exercise","Therapeutic exercise ball, Fitball exercise",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02114,9.5,5,"Therapeutic exercise ball, Fitball exercise, high intensity","Therapeutic exercise ball, Fitball exercise, high intensity",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02115,2.8,3,"Upper body exercise, arm ergometer, general, light","Upper body exercise, arm ergometer, general, light",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02116,2.0,2,"Arm Ergometer, hand bike, 15W","Arm Ergometer, hand bike, 15W",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02117,2.8,3,"Arm Ergometer, hand bike, 25-30W","Arm Ergometer, hand bike, 25-30W",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02118,3.5,3,"Arm Ergometer, hand bike, 45W","Arm Ergometer, hand bike, 45W",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02119,4.3,4,"Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity","Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02120,5.3,4,"Water aerobics, water calisthenics, water exercise","Water aerobics, water calisthenics, water exercise",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02135,1.3,1,"Whirlpool, sitting","Whirlpool, sitting",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02140,2.5,2,"Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort","Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02143,4.0,3,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate","Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02145,6.0,4,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous","Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02150,2.3,2,"Yoga, Hatha","Yoga, Hatha",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02153,8.0,5,"Yoga, Hatha, high intensity","Yoga, Hatha, high intensity",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02155,3.0,3,"Yoga, Hot","Yoga, Hot",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02160,4.0,3,"Yoga, Power","Yoga, Power",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02170,2.0,2,"Yoga, Nadisodhana","Yoga, Nadisodhana",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02175,2.3,2,"Yoga, General","Yoga, General",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02180,3.5,3,"Yoga, Surya Namaskar","Yoga, Surya Namaskar",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02185,2.7,3,"Yoga, Vinyasa","Yoga, Vinyasa",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02200,5.3,4,"Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort","Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02205,6.8,5,"Native New Zealander PA, general, vigorous effort","Native New Zealander PA, general, vigorous effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02210,7.0,5,"High intensity interval exercise, moderate effort","High intensity interval exercise, moderate effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02214,11.0,5,"High intensity interval exercise, burpees, mountain climbers, squat jumps, Tabata, vigorous effort","High intensity interval exercise, burpees, mountain climbers, squat jumps, Tabata, vigorous effort",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02225,2.3,2,"Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo","Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02230,5.8,4,Hooping (formerly known as hula® hooping),Hooping (formerly known as hula® hooping),2024 Adult Compendium of Physical Activities
Conditioning Exercise,02240,9.0,5,"Impulse Training System, Inertial Exercise Trainer","Impulse Training System, Inertial Exercise Trainer",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02280,7.9,5,"Virtual Reality Fitness, Supernatural ""Flow"", ""Boxing"" vigorous intensity","Virtual Reality Fitness, Supernatural ""Flow"", ""Boxing"" vigorous intensity",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02284,9.3,5,"ExerCube, workout series","ExerCube, workout series",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02288,13.0,5,"Blackbox Immersive virtual reality exergaming system, vigorous intensity","Blackbox Immersive virtual reality exergaming system, vigorous intensity",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02300,3.0,3,"Wand exercise, Life-Build-Line","Wand exercise, Life-Build-Line",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02310,6.5,5,"Zumba, group class","Zumba, group class",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02315,5.5,4,"Zumba, home video","Zumba, home video",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02340,2.8,3,"Sit to stand exercise, 6-12 times/min","Sit to stand exercise, 6-12 times/min",2024 Adult Compendium of Physical Activities
Conditioning Exercise,02344,4.0,3,"Sit to stand exercise, 18-24 times/min","Sit to stand exercise, 18-24 times/min",2024 Adult Compendium of Physical Activities
Dancing,03005,6.0,4,"Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements)","Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements)",2024 Adult Compendium of Physical Activities
Dancing,03010,5.0,4,"Ballet, modern, or jazz general, rehearsal or class","Ballet, modern, or jazz general, rehearsal or class",2024 Adult Compendium of Physical Activities
Dancing,03011,6.3,5,"Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)","Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)",2024 Adult Compendium of Physical Activities
Dancing,03012,6.8,5,"Ballet, modern, or jazz, performance, vigorous effort","Ballet, modern, or jazz, performance, vigorous effort",2024 Adult Compendium of Physical Activities
Dancing,03014,4.8,4,Tap,Tap,2024 Adult Compendium of Physical Activities
Dancing,03025,4.5,4,"Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena, flamenco, belly, and swing)","Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena, flamenco, belly, and swing)",2024 Adult Compendium of Physical Activities
Dancing,03028,5.5,4,"Chinese square dance, Ballet & Tibetan dance","Chinese square dance, Ballet & Tibetan dance",2024 Adult Compendium of Physical Activities
Dancing,03029,7.3,5,"Chinese square dance, aerobic dance","Chinese square dance, aerobic dance",2024 Adult Compendium of Physical Activities
Dancing,03030,5.5,4,"Ballroom dancing, fast","Ballroom dancing, fast (Taylor Code 125)",2024 Adult Compendium of Physical Activities
Dancing,03031,9.8,5,"Nightclub or folk dancing, vigorous effort (e.g., nightclub, disco, folk, line dancing, Irish step dancing, polka, contra)","Nightclub or folk dancing, vigorous effort (e.g., nightclub, disco, folk, line dancing, Irish step dancing, polka, contra)",2024 Adult Compendium of Physical Activities
Dancing,03033,5.0,4,"Folk dancing, moderate effort","Folk dancing, moderate effort",2024 Adult Compendium of Physical Activities
Dancing,03038,11.3,5,"Ballroom dancing, competitive, general ballroom dance, DanceSport competition (modern waltz, tango, Viennese waltz, slow fox, quick step, samba, chacha, rumba, Dancing 03039 13.0 paso doble, jive)","Ballroom dancing, competitive, general ballroom dance, DanceSport competition (modern waltz, tango, Viennese waltz, slow fox, quick step, samba, chacha, rumba, Dancing 03039 13.0 paso doble, jive)",2024 Adult Compendium of Physical Activities
Dancing,03040,3.0,3,"Ballroom, slow, examples: waltz, foxtrot, slow dancing, samba tango, rumba, 19th century dance, mambo, cha cha","Ballroom, slow, examples: waltz, foxtrot, slow dancing, samba tango, rumba, 19th century dance, mambo, cha cha",2024 Adult Compendium of Physical Activities
Dancing,03042,6.0,4,"Ballroom Dance, Recreational (Waltz, Foxtrot, Cha-cha, Swing)","Ballroom Dance, Recreational (Waltz, Foxtrot, Cha-cha, Swing)",2024 Adult Compendium of Physical Activities
Dancing,03050,5.5,4,"Anishinaabe Jingle dancing, brisk pace, other traditional American Indian dancing performed by women, moderate effort Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin's, Caribbean Quadrills, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Dancing 03060 3.5 Kumina, Oreisha, Jambu)","Anishinaabe Jingle dancing, brisk pace, other traditional American Indian dancing performed by women, moderate effort Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin's, Caribbean Quadrills, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Dancing 03060 3.5 Kumina, Oreisha, Jambu)",2024 Adult Compendium of Physical Activities
Dancing,03070,3.8,3,"Contemporary dancing, general","Contemporary dancing, general",2024 Adult Compendium of Physical Activities
Dancing,03072,4.3,4,"Contemporary dancing, nightclub","Contemporary dancing, nightclub",2024 Adult Compendium of Physical Activities
Dancing,03075,8.5,5,Flamenco dance,Flamenco dance,2024 Adult Compendium of Physical Activities
Dancing,03078,4.5,4,"Jazz dancing, general","Jazz dancing, general",2024 Adult Compendium of Physical Activities
Dancing,03080,10.3,5,"Musical Theater, Singing/dancing","Musical Theater, Singing/dancing",2024 Adult Compendium of Physical Activities
Dancing,03085,5.8,4,"Polynesian dance, Hawaiian hula slow, Maori haka, Tongan","Polynesian dance, Hawaiian hula slow, Maori haka, Tongan",2024 Adult Compendium of Physical Activities
Dancing,03086,7.0,5,"Polynesian dance, Hawaiian hula fast, Samoan sasa, Fijian style fast, Filipino Tinikling","Polynesian dance, Hawaiian hula fast, Samoan sasa, Fijian style fast, Filipino Tinikling",2024 Adult Compendium of Physical Activities
Dancing,03087,8.8,5,"Polynesian dance, Samoan slap, Tahitian","Polynesian dance, Samoan slap, Tahitian",2024 Adult Compendium of Physical Activities
Dancing,03090,4.8,4,"Salsa Dancing, with partner","Salsa Dancing, with partner",2024 Adult Compendium of Physical Activities
Dancing,03091,6.3,5,"Salsa dancing, to a video","Salsa dancing, to a video",2024 Adult Compendium of Physical Activities
Dancing,03093,5.5,4,"Square Dancing, American Western, country","Square Dancing, American Western, country",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04001,3.5,3,"Fishing, general","Fishing, general",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04005,4.5,4,"Fishing, crab fishing","Fishing, crab fishing",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04007,4.0,3,"Fishing, catching fish with hands","Fishing, catching fish with hands",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04010,4.3,4,"Fishing related, digging worms, with shovel","Fishing related, digging worms, with shovel",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04020,4.0,3,Fishing from river bank and walking,Fishing from river bank and walking,2024 Adult Compendium of Physical Activities
Fishing & Hunting,04030,2.0,2,"Fishing from boat or canoe, sitting","Fishing from boat or canoe, sitting",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04040,3.5,3,"Fishing from river bank, standing","Fishing from river bank, standing (Taylor Code 660)",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04050,6.0,4,"Fishing in stream, in waders","Fishing in stream, in waders (Taylor Code 670)",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04060,2.0,2,"Fishing, ice, sitting","Fishing, ice, sitting",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04061,1.8,2,"Fishing, jig or line, standing, general","Fishing, jig or line, standing, general",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04062,3.5,3,"Fishing, dip net, setting net and retrieving fish, general","Fishing, dip net, setting net and retrieving fish, general",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04063,3.8,3,"Fishing, set net, setting net and retrieving fish, general","Fishing, set net, setting net and retrieving fish, general",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04064,3.0,3,"Fishing, fishing wheel, setting net and retrieving fish, general","Fishing, fishing wheel, setting net and retrieving fish, general",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04065,2.3,2,"Fishing with a spear, standing","Fishing with a spear, standing",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04070,2.5,2,"Hunting, bow and arrow or crossbow","Hunting, bow and arrow or crossbow",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04080,6.0,4,"Hunting, deer, elk, large game","Hunting, deer, elk, large game (Taylor Code 170)",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04081,9.8,5,"Hunting large game, dragging carcass","Hunting large game, dragging carcass",2024 Adult Compendium of Physical Activities
Fishing & Hunting,04083,4.0,3,Hunting large marine animals,Hunting large marine animals,2024 Adult Compendium of Physical Activities
